number;title;goal;tipp;description;image;a;b;c1;c2;alltag;bei_der_arbeit;hilfe_holen;kommunikation;reisen;unterhaltung_kultur;unterwegs;zu_hause
1;Passende Weckmethoden;Finden Sie einen passenden Wecker für Ihre Bedürfnisse.;Ziehen Sie es in Erwägung, einen Wecker mit hellem Blinklicht oder Vibration zu nutzen, besonders wenn Sie unterwegs sind.;So werden Sie rechtzeitig geweckt und können Ihren Tag wie geplant beginnen.;Wecker.png;1;0;0;0;0;0;0;0;0;0;0;1
2;Weckmethoden bei Hörschädigung;Finden Sie einen passenden Wecker für Ihre Bedürfnisse.;Bei starker Hörschädigung sollten Sie in Erwägung ziehen, einen Wecker mit hellem Blinklicht oder Vibration zu nutzen, besonders wenn Sie unterwegs sind.;Ein solcher Wecker sorgt dafür, dass Sie trotz Ihrer Hörschädigung rechtzeitig geweckt werden und Ihren Tag wie geplant beginnen können.;Wecker.png;0;1;1;1;0;0;0;0;0;0;0;1
3;Rüttelkissen und -unterlagen;Finden Sie eine sanfte Weckmethode.;Wenn Lichtblitze am Morgen für Sie unangenehm sind, kann ein Rüttelkissen, das durch einen Lichtwecker aktiviert wird, eine gute Alternative sein. Es gibt auch Rüttelunterlagen, die das gesamte Bett vibrieren lassen, ideal für Tiefschläfer.;Rüttelkissen und -unterlagen sind sanfte Alternativen zu lauten Weckern und können eine weniger störende Methode sein, um aufzustehen.;Wecker.png;1;1;1;1;0;0;0;0;0;0;0;1
4;Armbanduhren mit Vibrationsalarm;Diskrete Weckmethode auch für Unterwegs.;Manchmal sind Armbanduhren mit einem Vibrationsalarm genau das, was Sie benötigen. Diese Uhren können unauffällig und effektiv sein, besonders wenn Sie unterwegs sind.;Eine Armbanduhr mit Vibrationsalarm ermöglicht es Ihnen, zuverlässig geweckt zu werden, ohne andere Personen in Ihrer Umgebung zu stören oder zusätzliche Geräte mitzunehmen.;Wecker.png;1;1;1;1;0;0;0;0;1;0;1;1
5;Verbesserte Türklingel-Wahrnehmung;Hören Sie Ihre Türklingel stets zuverlässig.;Um die Türkllingel zuverlässig zu hören und Besucher nicht unnötig warten zu lassen, können Sie den Klingelton lauter stellen, seinen Klang zu ändern oder ihn mit einem Licht- oder Vibrationssender zu verbinden.;Probieren Sie verschiedene Klangmuster aus und wählen sie den, den Sie am besten hören.;Türklingel.png;1;0;0;0;0;0;0;0;0;0;0;1
6;Verbesserte Türklingel-Wahrnehmung;Hören Sie Ihre Türklingel stets zuverlässig.;Um die Türkllingel zuverlässig zu hören und Besucher nicht unnötig warten zu lassen, können Sie den Klingelton lauter stellen, seinen Klang zu ändern oder ihn mit einem Licht- oder Vibrationssender zu verbinden.;Typischerweise betrifft ein Hörverlust helle Töne stärker als tiefere. Probieren Sie verschiedene Klangmuster aus und wählen sie den, den Sie am besten hören.;Türklingel.png;0;1;1;1;0;0;0;0;0;0;0;1
7;Signalübertragung der Türklingel;Seien Sie immer informiert, wenn es klingelt.;Verwenden Sie einen Sender, der das Klingeln per Mikrofon erfasst und dann als neues Signal über die Stromleitung oder per Funk an einen Empfänger weiterleitet.;So können Sie die Klingel auch wahrnehmen, wenn Sie sich nicht in direkter Nähe zur Tür befinden.;Türklingel.png;1;0;0;0;0;0;0;0;0;0;0;1
8;Signalübertragung der Türklingel;Seien Sie immer informiert, wenn es klingelt.;Eine innovative Methode zur Verbesserung der Klingelwahrnehmung ist die Verwendung eines Senders, der das Klingeln per Mikrofon erfasst und dann als neues Signal über die Stromleitung oder per Funk an einen Empfänger weiterleitet.;So können Sie die Klingel auch wahrnehmen, wenn Sie sich nicht in direkter Nähe zur Tür befinden.;Türklingel.png;0;1;1;1;0;0;0;0;0;0;0;1
9;Nutzen von tragbaren Funkempfängern;Hören Sie das Klingeln überall im Haus.;Wenn Sie den Klingelton jederzeit und überall hören möchten, ist es ratsam, tragbare Funkempfänger zu nutzen, die Sie entweder in die Steckdose stecken oder in Ihrer Nähe aufstellen oder an Ihre Kleidung klippen können.;Obwohl sie Batterien benötigen, stellen sie sicher, dass Sie das Klingeln selbst von entfernten Orten wie der Terrasse oder dem Garten aus nicht verpassen. Die Reichweite variiert je nach Gerät.;Signalanlagen.png;1;1;1;1;0;1;0;0;0;0;0;1
10;Signalanlagen im Haus;Behalten Sie alle Zimmer im Blick.;Mit handlichen Signalanlagen können Sie nicht nur das Klingeln an der Tür überwachen, sondern auch andere Bereiche des Hauses. Durch den Einsatz von Sendern in verschiedenen Räumen, können Sie beispielsweise die Haustürklingel, das Baby im Kinderzimmer und das Telefon im Wohnzimmer gleichzeitig überwachen. Sie erkennen den Ursprung des Signals anhand des Blink- oder Vibrationsrhythmus und den Symbolen.;Durch diese Systeme können Sie verschiedene Teile Ihres Hauses gleichzeitig überwachen und sicherstellen, dass Sie wichtige Signale nicht übersehen.;Signalanlagen.png;1;1;1;1;0;0;0;0;0;0;0;1
